,avgtimeall,avgtimealllure,avgtimeallreal,avgtimeneglure,avgtimenegreal,avgtimeneulure,avgtimeneureal,avgtimeposlure,avgtimeposreal,condition,subjid,totalneglure,totalnegreal,totalneulure,totalneureal,totalposlure,totalposreal
166,11.613833333333334,9.163,12.83925,8.725,19.9185,9.601,na,na,5.76,L41,cs50,1,2,0,0,1,2
167,22.062166666666666,6.4685,29.859,8.396,25.575,4.541,na,na,31.287,M42,cs112,1,1,0,0,1,3
168,8.995333333333335,4.613666666666667,11.186166666666667,na,9.228333333333333,4.613666666666667,na,na,13.144,L42,cs42,3,3,0,0,0,3
169,5.404,na,5.404,na,na,na,na,na,5.404,M42,cs117,0,0,0,0,0,1
170,29.58,31.427,27.733,31.427,27.733,na,na,na,na,L12,cs53,0,1,0,0,1,0
171,3.9406666666666665,2.623,4.5995,2.623,4.5995,na,na,na,na,M42,TEST9999,0,2,0,0,1,0
172,29.482666666666667,33.255,21.938,33.255,na,na,na,na,21.938,L11,cs85,0,0,0,0,2,1
173,39.367615384615384,13.0686,55.8045,10.375,72.18425,19.572,14.397,12.5105,47.76733333333333,L22,CS121,1,4,2,1,2,3
174,18.99825,21.438333333333333,17.534200000000002,19.296,48.645,22.5095,na,na,9.7565,L31,cs107,2,1,0,0,1,4
175,13.97390909090909,19.1845,7.7212,28.4625,9.4505,14.5455,na,na,0.804,M12,cs131,4,4,0,0,2,1
176,12.443142857142856,9.3365,13.685799999999999,9.761,13.254333333333333,8.912,na,na,14.333,M11,CS100,1,3,0,0,1,2
177,10.952375,4.989333333333333,14.5302,6.071,18.485,2.826,na,na,8.598,M12,cs118,1,3,0,0,2,2
178,37.17333333333334,8.347,51.5865,8.347,52.724,na,na,na,50.449,L21,CS76,0,1,0,0,1,1
179,3.6912857142857143,4.480666666666667,3.09925,2.907,3.551,5.2675,2.0435,na,4.759,L42,TEST9999,2,1,0,2,1,1
180,38.46,35.582,42.777,na,42.777,35.582,na,na,na,L12,CS01,3,2,0,0,0,0
181,9.392100000000001,6.337,13.97475,5.0645,17.6665,6.183,na,11.581,10.283,L42,cs113,1,2,1,0,4,2
182,3.2026666666666666,3.6115,2.385,na,na,3.6115,na,na,2.385,L11,teststefano,2,0,0,0,0,1
183,14.911625,5.111333333333333,20.7918,4.509,26.32766666666667,5.4125,na,na,12.488,L12,cs118,2,3,0,0,1,2
184,14.272333333333334,11.2595,16.682599999999997,7.0165,15.3315,15.5025,na,na,17.583333333333332,L22,cs87,2,2,0,0,2,3
185,35.48357142857143,3.1415,48.4204,na,41.734,na,na,3.1415,52.878,L11,CS136,0,2,2,0,0,3
186,13.1906,2.1345,15.954625,2.1345,11.301333333333334,na,4.728,na,22.25125,M31,cs07,0,3,0,1,2,4
187,3.5145999999999997,3.7433333333333336,3.1715,6.026,4.39,2.602,na,na,1.953,M11,TestRyan,2,1,0,0,1,1
188,17.455272727272728,11.32009090909091,23.590454545454545,9.50125,36.829,16.1118,3.21,2.9785,25.63725,L11,cs26,5,4,2,3,4,4
