,avgtimeall,avgtimealllure,avgtimeallreal,avgtimeneglure,avgtimenegreal,avgtimeneulure,avgtimeneureal,avgtimeposlure,avgtimeposreal,condition,subjid,totalneglure,totalnegreal,totalneulure,totalneureal,totalposlure,totalposreal
86,14.3621875,,,,,,,,,L12,cs26,0,0,0,0,0,0
87,18.114083333333333,,,,,,,,,L11,CS99,0,0,0,0,0,0
88,24.678583333333332,,,,,,,,,M32,cs107,0,0,0,0,0,0
89,13.079666666666666,,,,,,,,,M12,CS74,0,0,0,0,0,0
90,5.4425,,,,,,,,,M12,cs43,0,0,0,0,0,0
91,8.038521739130434,,,,,,,,,L42,CS101,0,0,0,0,0,0
92,11.841285714285714,,,,,,,,,L31,CS97,0,0,0,0,0,0
93,18.392892857142858,,,,,,,,,M31,cs139,0,0,0,0,0,0
94,13.663666666666666,,,,,,,,,L31,CS123,0,0,0,0,0,0
95,10.674100000000001,,,,,,,,,L42,cs72,0,0,0,0,0,0
96,5.532555555555556,,,,,,,,,M31,cs60,0,0,0,0,0,0
97,46.94733333333333,,,,,,,,,L12,cs30,0,0,0,0,0,0
98,13.438875,,,,,,,,,L32,cs58,0,0,0,0,0,0
99,10.801,,,,,,,,,L12,CS74,0,0,0,0,0,0
100,9.165333333333335,,,,,,,,,L41,cs41,0,0,0,0,0,0
101,10.9846,,,,,,,,,L12,cs23,0,0,0,0,0,0
102,2.866,,,,,,,,,M11,TestRyan,0,0,0,0,0,0
103,40.512550000000005,,,,,,,,,L21,CS70,0,0,0,0,0,0
104,4.015,,,,,,,,,L21,teststefano,0,0,0,0,0,0
105,6.876076923076923,,,,,,,,,M41,cs10,0,0,0,0,0,0
106,9.273411764705882,,,,,,,,,L42,CS95,0,0,0,0,0,0
107,23.6725,,,,,,,,,L21,cs88,0,0,0,0,0,0
108,7.8597,,,,,,,,,L12,cs133,0,0,0,0,0,0
109,5.124133333333333,,,,,,,,,M12,cs13,0,0,0,0,0,0
110,7.56275,,,,,,,,,L42,cs50,0,0,0,0,0,0
111,9.60775,,,,,,,,,M11,CS81,0,0,0,0,0,0
112,7.682636363636364,,,,,,,,,M41,cs37,0,0,0,0,0,0
113,11.865125,,,,,,,,,L12,cs01,0,0,0,0,0,0
114,33.378,,,,,,,,,L12,CS81,0,0,0,0,0,0
115,3.5225,,,,,,,,,L22,test6,0,0,0,0,0,0
116,9.629291666666665,,,,,,,,,M42,CS95,0,0,0,0,0,0
117,14.5345,,,,,,,,,M21,cs31,0,0,0,0,0,0
118,11.274363636363637,,,,,,,,,M42,CS119,0,0,0,0,0,0
119,9.50375,,,,,,,,,M21,cs55,0,0,0,0,0,0
120,8.86053846153846,,,,,,,,,M11,cs132,0,0,0,0,0,0
121,29.92833333333333,,,,,,,,,L42,cs38,0,0,0,0,0,0
122,18.6337,,,,,,,,,L42,cs78,0,0,0,0,0,0
123,12.2613125,,,,,,,,,L22,cs31,0,0,0,0,0,0
124,5.459545454545455,,,,,,,,,L12,cs52,0,0,0,0,0,0
125,20.85375,,,,,,,,,L21,cs93,0,0,0,0,0,0
126,16.435363636363636,,,,,,,,,M41,CS119,0,0,0,0,0,0
127,10.012,,,,,,,,,M42,cs42,0,0,0,0,0,0
128,5.042666666666667,,,,,,,,,M11,test01,0,0,0,0,0,0
129,8.474416666666666,,,,,,,,,M22,cs09,0,0,0,0,0,0
130,32.6235,,,,,,,,,M41,cs78,0,0,0,0,0,0
131,10.1878125,,,,,,,,,L12,cs118,0,0,0,0,0,0
132,18.155923076923077,,,,,,,,,L42,cs71,0,0,0,0,0,0
133,4.918230769230769,,,,,,,,,L11,cs39,0,0,0,0,0,0
134,16.291333333333334,,,,,,,,,L42,CS119,0,0,0,0,0,0
135,34.5646,,,,,,,,,L21,cs66,0,0,0,0,0,0
136,13.361857142857144,,,,,,,,,L11,cs27,0,0,0,0,0,0
137,36.617666666666665,,,,,,,,,M42,cs78,0,0,0,0,0,0
138,6.207086956521739,,,,,,,,,M12,cs132,0,0,0,0,0,0
139,12.826176470588235,,,,,,,,,M31,CS90,0,0,0,0,0,0
140,23.611625,,,,,,,,,M22,CS76,0,0,0,0,0,0
141,6.948428571428572,,,,,,,,,M32,cs08,0,0,0,0,0,0
142,15.373571428571429,,,,,,,,,M11,cs131,0,0,0,0,0,0
143,26.68407142857143,,,,,,,,,L11,CS136,0,0,0,0,0,0
144,7.130083333333333,,,,,,,,,L32,cs59,0,0,0,0,0,0
145,29.001125,,,,,,,,,M42,cs11,0,0,0,0,0,0
146,1.26,,,,,,,,,L42,test6,0,0,0,0,0,0
147,9.11025,,,,,,,,,L22,stefano1,0,0,0,0,0,0
148,22.976,,,,,,,,,L12,cs92,0,0,0,0,0,0
149,7.106833333333333,,,,,,,,,L21,cs14,0,0,0,0,0,0
150,16.7285,,,,,,,,,M31,subj04,0,0,0,0,0,0
151,18.387833333333333,,,,,,,,,L12,cs51,0,0,0,0,0,0
152,8.437285714285714,,,,,,,,,L42,cs21,0,0,0,0,0,0
153,11.974214285714286,,,,,,,,,L41,cs126,0,0,0,0,0,0
154,11.872071428571429,,,,,,,,,L12,CS115,0,0,0,0,0,0
155,10.6277,,,,,,,,,M31,cs110,0,0,0,0,0,0
156,18.25488461538462,,,,,,,,,L32,CS98,0,0,0,0,0,0
157,13.791863636363637,,,,,,,,,M21,CS120,0,0,0,0,0,0
158,19.682878048780488,,,,,,,,,M21,CS121,0,0,0,0,0,0
159,12.253333333333334,,,,,,,,,L42,cs11,0,0,0,0,0,0
160,15.4416875,,,,,,,,,M11,cs134,0,0,0,0,0,0
161,24.580333333333332,,,,,,,,,L21,CS76,0,0,0,0,0,0
162,9.952142857142857,,,,,,,,,L11,cs12,0,0,0,0,0,0
163,9.42209090909091,,,,,,,,,M42,cs21,0,0,0,0,0,0
164,17.048714285714286,,,,,,,,,L11,cs63,0,0,0,0,0,0
165,27.95985,,,,,,,,,M22,cs79,0,0,0,0,0,0
166,12.911833333333334,,,,,,,,,L31,cs89,0,0,0,0,0,0
167,26.232296296296294,,,,,,,,,L22,CS121,0,0,0,0,0,0
168,11.40809090909091,,,,,,,,,L42,cs129,0,0,0,0,0,0
169,21.625590909090906,,,,,,,,,L22,cs57,0,0,0,0,0,0
170,12.778333333333334,,,,,,,,,L12,cs134,0,0,0,0,0,0
171,9.2345,,,,,,,,,M32,stefano1,0,0,0,0,0,0
172,90.601,,,,,,,,,nan,scott taylor,0,0,0,0,0,0
173,43.10245454545454,,,,,,,,,M31,CS122,0,0,0,0,0,0
174,7.75846875,,,,,,,,,M42,cs24,0,0,0,0,0,0
175,2.042,,,,,,,,,M21,subj01,0,0,0,0,0,0
176,11.803,,,,,,,,,M41,cs21,0,0,0,0,0,0
177,14.774733333333334,,,,,,,,,M41,cs129,0,0,0,0,0,0
178,21.694030769230768,,,,,,,,,M31,cs107,0,0,0,0,0,0
179,31.7445,,,,,,,,,M11,subj03,0,0,0,0,0,0
180,8.071310344827586,,,,,,,,,L41,CS101,0,0,0,0,0,0
181,3.528153846153846,,,,,,,,,M42,test-vinnie,0,0,0,0,0,0
182,6.446523809523809,,,,,,,,,M22,CS106,0,0,0,0,0,0
183,9.479673913043477,,,,,,,,,M41,cs24,0,0,0,0,0,0
184,18.849714285714285,,,,,,,,,M21,cs29,0,0,0,0,0,0
185,18.73075,,,,,,,,,L22,cs28,0,0,0,0,0,0
186,8.799333333333333,,,,,,,,,M22,cs34,0,0,0,0,0,0
187,13.034512195121952,,,,,,,,,L22,TEST999,0,0,0,0,0,0
188,11.973441860465117,,,,,,,,,L11,cs26,0,0,0,0,0,0
189,16.7005,,,,,,,,,L12,CS99,0,0,0,0,0,0
190,9.767714285714286,,,,,,,,,M11,CS74,0,0,0,0,0,0
191,3.5475,,,,,,,,,M32,test,0,0,0,0,0,0
192,26.0004375,,,,,,,,,M41,cs80,0,0,0,0,0,0
193,12.078095238095239,,,,,,,,,M42,cs129,0,0,0,0,0,0
194,5.764,,,,,,,,,L31,test,0,0,0,0,0,0
195,8.872785714285714,,,,,,,,,M32,cs35,0,0,0,0,0,0
196,6.042344827586207,,,,,,,,,L42,cs127,0,0,0,0,0,0
197,12.835777777777777,,,,,,,,,M41,cs116,0,0,0,0,0,0
198,15.4616,,,,,,,,,L12,CS104,0,0,0,0,0,0
199,66.13126086956521,,,,,,,,,L21,cs06,0,0,0,0,0,0
200,19.21,,,,,,,,,L42,cs96,0,0,0,0,0,0
201,9.668136363636364,,,,,,,,,M12,cs131,0,0,0,0,0,0
202,12.222444444444445,,,,,,,,,L21,cs69,0,0,0,0,0,0
203,7.404444444444445,,,,,,,,,L32,CS75,0,0,0,0,0,0
204,24.411900000000003,,,,,,,,,L11,CS01,0,0,0,0,0,0
205,13.00190625,,,,,,,,,L32,CS97,0,0,0,0,0,0
